1A;1B;1C;2A;2B;2C;3A;3B;3C;Classe
0;0;2;0;0;0;0;2;0;Fim de Jogo
0;2;2;1;1;1;0;2;2;Fim de Jogo
0;2;2;1;1;1;2;0;2;Fim de Jogo
0;2;2;1;1;1;2;2;0;Fim de Jogo
0;2;2;1;0;0;1;1;1;Fim de Jogo
0;2;2;0;1;0;1;1;1;Fim de Jogo
0;2;2;0;0;1;1;1;1;Fim de Jogo
0;2;2;0;2;2;1;1;1;Fim de Jogo
0;2;2;2;0;2;1;1;1;Fim de Jogo
0;2;2;2;2;0;1;1;1;Fim de Jogo
2;1;1;0;1;0;1;0;2;Fim de Jogo
2;1;1;0;1;0;1;2;0;Fim de Jogo
2;1;1;0;1;0;0;1;2;Fim de Jogo
2;1;1;0;1;0;2;1;0;Fim de Jogo
2;1;1;2;1;0;1;0;0;Fim de Jogo
2;1;1;2;1;0;0;1;0;Fim de Jogo
2;1;1;2;0;1;0;0;1;Fim de Jogo
2;1;0;1;1;1;0;0;2;Fim de Jogo
2;1;0;1;1;1;0;2;0;Fim de Jogo
2;1;0;1;1;1;2;0;0;Fim de Jogo
2;1;0;1;1;0;0;1;2;Fim de Jogo
2;1;0;1;1;2;0;1;0;Fim de Jogo
2;1;0;0;1;1;0;1;2;Fim de Jogo
2;1;0;0;1;1;2;1;0;Fim de Jogo
2;1;0;0;1;0;1;1;2;Fim de Jogo
2;1;0;0;1;0;2;1;1;Fim de Jogo
2;1;0;0;1;2;1;1;0;Fim de Jogo
2;1;0;0;1;2;0;1;1;Fim de Jogo
2;1;0;0;1;2;2;1;2;Fim de Jogo
2;1;0;0;0;2;1;1;1;Fim de Jogo
2;1;0;0;2;0;1;1;1;Fim de Jogo
2;1;0;2;1;1;0;1;0;Fim de Jogo
2;1;0;2;1;0;0;1;1;Fim de Jogo
2;1;0;2;1;0;2;1;2;Fim de Jogo
2;1;0;2;1;2;0;1;2;Fim de Jogo
2;1;0;2;1;2;2;1;0;Fim de Jogo
2;1;0;2;0;0;1;1;1;Fim de Jogo
2;1;2;1;1;0;0;1;0;Fim de Jogo
2;1;2;0;1;1;0;1;0;Fim de Jogo
2;1;2;0;1;0;1;1;0;Fim de Jogo
2;1;2;0;1;0;0;1;1;Fim de Jogo
2;1;2;0;1;0;2;1;2;Fim de Jogo
2;1;2;0;1;2;0;1;2;Fim de Jogo
